ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,MEDIA_MT,MEDIA_LP,FAIXA_MT,FAIXA_LP,INSE_MEDIO,GRUPO_INSE,NIVEL_INSE_MODAL,N_ALUNOS,N_ALUNOS_MT_VALIDOS,N_ALUNOS_LP_VALIDOS
61433973,Pública,Interior,Urbana,361.87388444565215,342.85707296739133,Q4_Alto,Q4_Alto,5.8023255813953485,Alto_INSE,6,105,92,92
61466141,NA,NA,NA,361.5723053125,331.6239945625,Q4_Alto,Q4_Alto,6.795,Alto_INSE,1,25,16,16
61442056,NA,NA,NA,359.3163009,346.10801915,Q4_Alto,Q4_Alto,6.2036842105263155,Alto_INSE,7,25,20,20
61442025,Pública,Interior,Urbana,358.3120318064516,337.39877451612904,Q4_Alto,Q4_Alto,5.485172413793103,Alto_INSE,1,72,31,31
61451129,NA,NA,NA,358.2383628333333,337.21734947916667,Q4_Alto,Q4_Alto,6.373125,Alto_INSE,7,65,48,48
61399418,Pública,Interior,Urbana,358.2111632149533,346.7233412990654,Q4_Alto,Q4_Alto,5.569809523809524,Alto_INSE,1,168,107,107
61422357,NA,NA,NA,356.111868027027,319.6119357027027,Q4_Alto,Q4_Alto,6.79972972972973,Alto_INSE,8,47,37,37
61442026,Pública,Interior,Urbana,355.8552911071429,345.82046133035715,Q4_Alto,Q4_Alto,5.428979591836734,Alto_INSE,1,185,112,112
61442651,Pública,Interior,Urbana,353.6954171052632,331.1447538947368,Q4_Alto,Q4_Alto,6.009473684210526,Alto_INSE,7,21,19,19
61421757,Pública,Interior,Urbana,352.54590374683545,334.5213052151899,Q4_Alto,Q4_Alto,5.6697435897435895,Alto_INSE,1,117,79,79
61459496,Pública,Interior,Urbana,352.4034102045454,335.17088345454545,Q4_Alto,Q4_Alto,5.640487804878049,Alto_INSE,1,129,44,44
61405627,NA,NA,NA,350.4248811904762,318.66592526190476,Q4_Alto,Q4_Alto,6.578536585365853,Alto_INSE,1,76,42,42
61417071,Pública,Interior,Urbana,350.16750457575756,341.0538528787879,Q4_Alto,Q4_Alto,5.53765625,Alto_INSE,1,100,66,66
61449850,Pública,Interior,Urbana,349.01408704838707,333.05608827419354,Q4_Alto,Q4_Alto,5.504915254237289,Alto_INSE,7,70,62,62
61466568,Pública,Interior,Urbana,348.86328997435896,340.9382681025641,Q4_Alto,Q4_Alto,5.831794871794871,Alto_INSE,6,43,39,39
61431450,Pública,Interior,Urbana,348.29784716216216,342.0463834054054,Q4_Alto,Q4_Alto,5.721,Alto_INSE,1,67,37,37
61412880,NA,NA,NA,347.2276401372549,319.3301037058824,Q4_Alto,Q4_Alto,6.297450980392157,Alto_INSE,7,73,51,51
61442586,Pública,Interior,Urbana,346.6617226363636,325.9278933636364,Q4_Alto,Q4_Alto,6.234545454545454,Alto_INSE,7,39,33,33
61425525,Pública,Interior,Urbana,346.2584448510638,331.7585902340426,Q4_Alto,Q4_Alto,5.931333333333333,Alto_INSE,7,63,47,47
61415637,Pública,Interior,Urbana,346.0735843090909,344.75979303636365,Q4_Alto,Q4_Alto,5.429090909090909,Alto_INSE,1,91,55,55
61441572,Pública,Interior,Urbana,345.59820478846154,319.12129603846154,Q4_Alto,Q4_Alto,5.788085106382979,Alto_INSE,7,56,52,52
61400483,Pública,Interior,Urbana,345.2073232173913,328.1342616521739,Q4_Alto,Q4_Alto,5.7975,Alto_INSE,7,25,23,23
61412878,Pública,Capital,Urbana,344.99608125,314.4189374,Q4_Alto,Q4_Alto,5.687083333333334,Alto_INSE,1,568,140,140
61428102,NA,NA,NA,343.30725147368423,324.5900529473684,Q4_Alto,Q4_Alto,5.95421052631579,Alto_INSE,6,23,19,19
61425092,Pública,Interior,Urbana,343.1020765,328.5922570517241,Q4_Alto,Q4_Alto,5.753404255319149,Alto_INSE,1,96,58,58
61448093,Pública,Interior,Urbana,343.08958844210525,316.0292622736842,Q4_Alto,Q4_Alto,6.208404255319149,Alto_INSE,7,122,95,95
61412895,Pública,Interior,Urbana,342.88098436363634,330.3697856969697,Q4_Alto,Q4_Alto,5.4116949152542375,Alto_INSE,1,95,66,66
61459776,NA,NA,NA,342.87835515384614,330.8550456153846,Q4_Alto,Q4_Alto,6.592307692307692,Alto_INSE,7,16,13,13
61405591,Pública,Interior,Urbana,342.7129418,330.6136077,Q4_Alto,Q4_Alto,5.623684210526315,Alto_INSE,6,78,60,60
61455454,Pública,Interior,Urbana,340.95721715999997,333.08567092,Q4_Alto,Q4_Alto,5.298918918918919,Alto_INSE,1,58,50,50
61433522,NA,NA,NA,340.4847743529412,324.16230811764706,Q4_Alto,Q4_Alto,6.357058823529412,Alto_INSE,7,22,17,17
61428718,Pública,Interior,Urbana,339.19214683146066,327.8911240449438,Q4_Alto,Q4_Alto,5.340243902439024,Alto_INSE,1,141,89,89
61442024,Pública,Interior,Rural,339.17803285526315,334.14989448684213,Q4_Alto,Q4_Alto,5.793513513513513,Alto_INSE,1,113,76,76
61459406,Pública,Interior,Urbana,339.01889912,328.81420644,Q4_Alto,Q4_Alto,5.454166666666667,Alto_INSE,6,30,25,25
61408045,NA,NA,NA,338.56898588235293,309.5767062352941,Q4_Alto,Q4_Alto,6.155384615384615,Alto_INSE,1,22,17,17
61400149,NA,NA,NA,338.5330536470588,319.0054557647059,Q4_Alto,Q4_Alto,6.41235294117647,Alto_INSE,7,26,17,17
61432622,Pública,Interior,Urbana,338.299352,327.30875055,Q4_Alto,Q4_Alto,6.2135,Alto_INSE,7,27,20,20
61454094,NA,NA,NA,338.0479529,301.40645916666665,Q4_Alto,Q4_Alto,6.473913043478261,Alto_INSE,1,37,30,30
61449072,Pública,Capital,Urbana,337.50539741618496,323.2624111098266,Q4_Alto,Q4_Alto,5.879819277108433,Alto_INSE,7,189,173,173
61416089,Pública,Interior,Urbana,335.99864755319146,332.3566891382979,Q4_Alto,Q4_Alto,5.780666666666667,Alto_INSE,1,113,94,94
61408565,Pública,Interior,Urbana,335.8462321,338.02556925,Q4_Alto,Q4_Alto,6.087,Alto_INSE,6,24,20,20
