ID_ESCOLA,TIPO_ESCOLA,AREA,LOCALIZACAO,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61455454,Publica,Interior,Urbana,2,340.96,333.09,5.3,Q4_Alto,Q4_Alto,Alto_INSE
61433522,Publica,NA,NA,2,340.48,324.16,6.36,Q4_Alto,Q4_Alto,Alto_INSE
61428718,Publica,Interior,Urbana,2,339.19,327.89,5.34,Q4_Alto,Q4_Alto,Alto_INSE
61442024,Publica,Interior,Rural,2,339.18,334.15,5.79,Q4_Alto,Q4_Alto,Alto_INSE
61459406,Publica,Interior,Urbana,2,339.02,328.81,5.45,Q4_Alto,Q4_Alto,Alto_INSE
61408045,Publica,NA,NA,2,338.57,309.58,6.16,Q4_Alto,Q4_Alto,Alto_INSE
61400149,Publica,NA,NA,2,338.53,319.01,6.41,Q4_Alto,Q4_Alto,Alto_INSE
61432622,Publica,Interior,Urbana,2,338.3,327.31,6.21,Q4_Alto,Q4_Alto,Alto_INSE
61454094,Publica,NA,NA,2,338.05,301.41,6.47,Q4_Alto,Q4_Alto,Alto_INSE
61449072,Publica,Capital,Urbana,2,337.51,323.26,5.88,Q4_Alto,Q4_Alto,Alto_INSE
61416089,Publica,Interior,Urbana,2,336,332.36,5.78,Q4_Alto,Q4_Alto,Alto_INSE
61408565,Publica,Interior,Urbana,2,335.85,338.03,6.09,Q4_Alto,Q4_Alto,Alto_INSE
61466462,Publica,Interior,Urbana,2,334.97,323.58,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61399385,Publica,NA,NA,2,334.92,325.46,5.75,Q4_Alto,Q4_Alto,Alto_INSE
61416620,Publica,Interior,Urbana,2,332.35,313.1,5.74,Q4_Alto,Q4_Alto,Alto_INSE
61431468,Publica,Interior,Urbana,2,332.34,341.19,4.87,Q4_Alto,Q4_Alto,Medio_INSE
61459752,Publica,Interior,Urbana,2,332.25,319.61,5.98,Q4_Alto,Q4_Alto,Alto_INSE
61457608,Publica,Interior,Urbana,2,331.33,325.87,5.18,Q4_Alto,Q4_Alto,Alto_INSE
