ID_ESCOLA,LOCALIZACAO,AREA,TIPO_ESCOLA,CLUSTER,MEDIA_MT,MEDIA_LP,INSE_MEDIO,FAIXA_MT,FAIXA_LP,GRUPO_INSE
61443197,Urbana,Interior,Pública,1,310.72,293.18,5.69,Q4_Alto,Q4_Alto,Alto_INSE
61445819,Urbana,Interior,Pública,1,310.7,316.56,6.02,Q4_Alto,Q4_Alto,Alto_INSE
61470085,Urbana,Interior,Pública,1,310.56,294.8,4.73,Q4_Alto,Q4_Alto,Medio_INSE
61465818,Urbana,Interior,Pública,1,310.27,322.49,5.82,Q4_Alto,Q4_Alto,Alto_INSE
61459479,Urbana,Interior,Pública,1,309.4,306.24,5.15,Q4_Alto,Q4_Alto,Alto_INSE
61405592,Urbana,Interior,Pública,1,309.35,295.43,4.85,Q4_Alto,Q4_Alto,Medio_INSE
61400084,Urbana,Interior,Pública,1,309.12,307.85,5.22,Q4_Alto,Q4_Alto,Alto_INSE
61442043,Urbana,Interior,Pública,1,309.01,316.19,5.25,Q4_Alto,Q4_Alto,Alto_INSE
61433425,Urbana,Interior,Pública,1,308.27,302.77,5.63,Q4_Alto,Q4_Alto,Alto_INSE
61425379,Urbana,Interior,Pública,1,307.71,302.25,5.39,Q4_Alto,Q4_Alto,Alto_INSE
61457718,Urbana,Interior,Pública,1,307.69,306.84,5.51,Q4_Alto,Q4_Alto,Alto_INSE
